requirement_id,requirement_name,coverage_threshold,original_constr_name,description
R003986,Customer_Requirement_3986,8,c3986,Customer requirement 3986
R003987,Customer_Requirement_3987,6,c3987,Customer requirement 3987
R003988,Customer_Requirement_3988,10,c3988,Customer requirement 3988
R003989,Customer_Requirement_3989,16,c3989,Customer requirement 3989
R003990,Customer_Requirement_3990,-7,c3990,Customer requirement 3990
R003991,Customer_Requirement_3991,9,c3991,Customer requirement 3991
R003992,Customer_Requirement_3992,-6,c3992,Customer requirement 3992
R003993,Customer_Requirement_3993,15,c3993,Customer requirement 3993
R003994,Customer_Requirement_3994,16,c3994,Customer requirement 3994
R003995,Customer_Requirement_3995,13,c3995,Customer requirement 3995
R003996,Customer_Requirement_3996,7,c3996,Customer requirement 3996
R003997,Customer_Requirement_3997,16,c3997,Customer requirement 3997
R003998,Customer_Requirement_3998,-10,c3998,Customer requirement 3998
R003999,Customer_Requirement_3999,12,c3999,Customer requirement 3999
R004000,Customer_Requirement_4000,8,c4000,Customer requirement 4000
R004001,Customer_Requirement_4001,-7,c4001,Customer requirement 4001
R004002,Customer_Requirement_4002,14,c4002,Customer requirement 4002
R004003,Customer_Requirement_4003,22,c4003,Customer requirement 4003
R004004,Customer_Requirement_4004,11,c4004,Customer requirement 4004
R004005,Customer_Requirement_4005,9,c4005,Customer requirement 4005
R004006,Customer_Requirement_4006,15,c4006,Customer requirement 4006
R004007,Customer_Requirement_4007,13,c4007,Customer requirement 4007
R004008,Customer_Requirement_4008,16,c4008,Customer requirement 4008
R004009,Customer_Requirement_4009,4,c4009,Customer requirement 4009
R004010,Customer_Requirement_4010,9,c4010,Customer requirement 4010
R004011,Customer_Requirement_4011,14,c4011,Customer requirement 4011
R004012,Customer_Requirement_4012,8,c4012,Customer requirement 4012
R004013,Customer_Requirement_4013,11,c4013,Customer requirement 4013
R004014,Customer_Requirement_4014,12,c4014,Customer requirement 4014
R004015,Customer_Requirement_4015,8,c4015,Customer requirement 4015
R004016,Customer_Requirement_4016,-10,c4016,Customer requirement 4016
R004017,Customer_Requirement_4017,14,c4017,Customer requirement 4017
R004018,Customer_Requirement_4018,4,c4018,Customer requirement 4018
R004019,Customer_Requirement_4019,17,c4019,Customer requirement 4019
R004020,Customer_Requirement_4020,11,c4020,Customer requirement 4020
R004021,Customer_Requirement_4021,7,c4021,Customer requirement 4021
R004022,Customer_Requirement_4022,9,c4022,Customer requirement 4022
R004023,Customer_Requirement_4023,12,c4023,Customer requirement 4023
R004024,Customer_Requirement_4024,-3,c4024,Customer requirement 4024
R004025,Customer_Requirement_4025,12,c4025,Customer requirement 4025
R004026,Customer_Requirement_4026,24,c4026,Customer requirement 4026
R004027,Customer_Requirement_4027,-2,c4027,Customer requirement 4027
R004028,Customer_Requirement_4028,7,c4028,Customer requirement 4028
R004029,Customer_Requirement_4029,4,c4029,Customer requirement 4029
R004030,Customer_Requirement_4030,9,c4030,Customer requirement 4030
R004031,Customer_Requirement_4031,0,c4031,Customer requirement 4031
R004032,Customer_Requirement_4032,-4,c4032,Customer requirement 4032
R004033,Customer_Requirement_4033,8,c4033,Customer requirement 4033
R004034,Customer_Requirement_4034,11,c4034,Customer requirement 4034
R004035,Customer_Requirement_4035,23,c4035,Customer requirement 4035
R004036,Customer_Requirement_4036,13,c4036,Customer requirement 4036
R004037,Customer_Requirement_4037,2,c4037,Customer requirement 4037
R004038,Customer_Requirement_4038,11,c4038,Customer requirement 4038
R004039,Customer_Requirement_4039,0,c4039,Customer requirement 4039
R004040,Customer_Requirement_4040,6,c4040,Customer requirement 4040
R004041,Customer_Requirement_4041,-2,c4041,Customer requirement 4041
R004042,Customer_Requirement_4042,12,c4042,Customer requirement 4042
R004043,Customer_Requirement_4043,3,c4043,Customer requirement 4043
R004044,Customer_Requirement_4044,22,c4044,Customer requirement 4044
R004045,Customer_Requirement_4045,9,c4045,Customer requirement 4045
R004046,Customer_Requirement_4046,10,c4046,Customer requirement 4046
R004047,Customer_Requirement_4047,12,c4047,Customer requirement 4047
R004048,Customer_Requirement_4048,4,c4048,Customer requirement 4048
R004049,Customer_Requirement_4049,19,c4049,Customer requirement 4049
R004050,Customer_Requirement_4050,21,c4050,Customer requirement 4050
R004051,Customer_Requirement_4051,21,c4051,Customer requirement 4051
R004052,Customer_Requirement_4052,-1,c4052,Customer requirement 4052
R004053,Customer_Requirement_4053,10,c4053,Customer requirement 4053
R004054,Customer_Requirement_4054,21,c4054,Customer requirement 4054
R004055,Customer_Requirement_4055,10,c4055,Customer requirement 4055
R004056,Customer_Requirement_4056,-5,c4056,Customer requirement 4056
R004057,Customer_Requirement_4057,17,c4057,Customer requirement 4057
R004058,Customer_Requirement_4058,14,c4058,Customer requirement 4058
R004059,Customer_Requirement_4059,7,c4059,Customer requirement 4059
R004060,Customer_Requirement_4060,12,c4060,Customer requirement 4060
R004061,Customer_Requirement_4061,17,c4061,Customer requirement 4061
R004062,Customer_Requirement_4062,8,c4062,Customer requirement 4062
R004063,Customer_Requirement_4063,23,c4063,Customer requirement 4063
R004064,Customer_Requirement_4064,18,c4064,Customer requirement 4064
R004065,Customer_Requirement_4065,17,c4065,Customer requirement 4065
R004066,Customer_Requirement_4066,11,c4066,Customer requirement 4066
R004067,Customer_Requirement_4067,10,c4067,Customer requirement 4067
R004068,Customer_Requirement_4068,10,c4068,Customer requirement 4068
R004069,Customer_Requirement_4069,13,c4069,Customer requirement 4069
R004070,Customer_Requirement_4070,6,c4070,Customer requirement 4070
R004071,Customer_Requirement_4071,5,c4071,Customer requirement 4071
R004072,Customer_Requirement_4072,7,c4072,Customer requirement 4072
R004073,Customer_Requirement_4073,-7,c4073,Customer requirement 4073
R004074,Customer_Requirement_4074,5,c4074,Customer requirement 4074
R004075,Customer_Requirement_4075,16,c4075,Customer requirement 4075
R004076,Customer_Requirement_4076,19,c4076,Customer requirement 4076
R004077,Customer_Requirement_4077,-9,c4077,Customer requirement 4077
R004078,Customer_Requirement_4078,-1,c4078,Customer requirement 4078
R004079,Customer_Requirement_4079,24,c4079,Customer requirement 4079
R004080,Customer_Requirement_4080,11,c4080,Customer requirement 4080
R004081,Customer_Requirement_4081,11,c4081,Customer requirement 4081
R004082,Customer_Requirement_4082,4,c4082,Customer requirement 4082
R004083,Customer_Requirement_4083,20,c4083,Customer requirement 4083
R004084,Customer_Requirement_4084,10,c4084,Customer requirement 4084
R004085,Customer_Requirement_4085,4,c4085,Customer requirement 4085
R004086,Customer_Requirement_4086,21,c4086,Customer requirement 4086
R004087,Customer_Requirement_4087,-9,c4087,Customer requirement 4087
R004088,Customer_Requirement_4088,17,c4088,Customer requirement 4088
R004089,Customer_Requirement_4089,10,c4089,Customer requirement 4089
R004090,Customer_Requirement_4090,11,c4090,Customer requirement 4090
R004091,Customer_Requirement_4091,10,c4091,Customer requirement 4091
R004092,Customer_Requirement_4092,-1,c4092,Customer requirement 4092
R004093,Customer_Requirement_4093,12,c4093,Customer requirement 4093
R004094,Customer_Requirement_4094,19,c4094,Customer requirement 4094
R004095,Customer_Requirement_4095,-8,c4095,Customer requirement 4095
R004096,Customer_Requirement_4096,3,c4096,Customer requirement 4096
R004097,Customer_Requirement_4097,7,c4097,Customer requirement 4097
R004098,Customer_Requirement_4098,7,c4098,Customer requirement 4098
R004099,Customer_Requirement_4099,9,c4099,Customer requirement 4099
R004100,Customer_Requirement_4100,17,c4100,Customer requirement 4100
R004101,Customer_Requirement_4101,-3,c4101,Customer requirement 4101
R004102,Customer_Requirement_4102,8,c4102,Customer requirement 4102
R004103,Customer_Requirement_4103,-8,c4103,Customer requirement 4103
R004104,Customer_Requirement_4104,18,c4104,Customer requirement 4104
R004105,Customer_Requirement_4105,17,c4105,Customer requirement 4105
R004106,Customer_Requirement_4106,18,c4106,Customer requirement 4106
R004107,Customer_Requirement_4107,1,c4107,Customer requirement 4107
R004108,Customer_Requirement_4108,10,c4108,Customer requirement 4108
R004109,Customer_Requirement_4109,18,c4109,Customer requirement 4109
R004110,Customer_Requirement_4110,9,c4110,Customer requirement 4110
R004111,Customer_Requirement_4111,-8,c4111,Customer requirement 4111
R004112,Customer_Requirement_4112,6,c4112,Customer requirement 4112
R004113,Customer_Requirement_4113,4,c4113,Customer requirement 4113
R004114,Customer_Requirement_4114,13,c4114,Customer requirement 4114
R004115,Customer_Requirement_4115,-5,c4115,Customer requirement 4115
R004116,Customer_Requirement_4116,8,c4116,Customer requirement 4116
R004117,Customer_Requirement_4117,6,c4117,Customer requirement 4117
R004118,Customer_Requirement_4118,14,c4118,Customer requirement 4118
R004119,Customer_Requirement_4119,-9,c4119,Customer requirement 4119
R004120,Customer_Requirement_4120,24,c4120,Customer requirement 4120
R004121,Customer_Requirement_4121,4,c4121,Customer requirement 4121
R004122,Customer_Requirement_4122,12,c4122,Customer requirement 4122
R004123,Customer_Requirement_4123,14,c4123,Customer requirement 4123
R004124,Customer_Requirement_4124,7,c4124,Customer requirement 4124
R004125,Customer_Requirement_4125,6,c4125,Customer requirement 4125
R004126,Customer_Requirement_4126,24,c4126,Customer requirement 4126
R004127,Customer_Requirement_4127,9,c4127,Customer requirement 4127
R004128,Customer_Requirement_4128,9,c4128,Customer requirement 4128
R004129,Customer_Requirement_4129,5,c4129,Customer requirement 4129
R004130,Customer_Requirement_4130,-9,c4130,Customer requirement 4130
R004131,Customer_Requirement_4131,10,c4131,Customer requirement 4131
R004132,Customer_Requirement_4132,7,c4132,Customer requirement 4132
R004133,Customer_Requirement_4133,13,c4133,Customer requirement 4133
R004134,Customer_Requirement_4134,18,c4134,Customer requirement 4134
R004135,Customer_Requirement_4135,14,c4135,Customer requirement 4135
R004136,Customer_Requirement_4136,20,c4136,Customer requirement 4136
R004137,Customer_Requirement_4137,13,c4137,Customer requirement 4137
R004138,Customer_Requirement_4138,5,c4138,Customer requirement 4138
R004139,Customer_Requirement_4139,18,c4139,Customer requirement 4139
R004140,Customer_Requirement_4140,12,c4140,Customer requirement 4140
R004141,Customer_Requirement_4141,7,c4141,Customer requirement 4141
R004142,Customer_Requirement_4142,-5,c4142,Customer requirement 4142
R004143,Customer_Requirement_4143,-2,c4143,Customer requirement 4143
R004144,Customer_Requirement_4144,6,c4144,Customer requirement 4144
R004145,Customer_Requirement_4145,-10,c4145,Customer requirement 4145
R004146,Customer_Requirement_4146,15,c4146,Customer requirement 4146
R004147,Customer_Requirement_4147,8,c4147,Customer requirement 4147
R004148,Customer_Requirement_4148,12,c4148,Customer requirement 4148
R004149,Customer_Requirement_4149,8,c4149,Customer requirement 4149
R004150,Customer_Requirement_4150,14,c4150,Customer requirement 4150
R004151,Customer_Requirement_4151,12,c4151,Customer requirement 4151
R004152,Customer_Requirement_4152,21,c4152,Customer requirement 4152
R004153,Customer_Requirement_4153,11,c4153,Customer requirement 4153
R004154,Customer_Requirement_4154,6,c4154,Customer requirement 4154
R004155,Customer_Requirement_4155,12,c4155,Customer requirement 4155
R004156,Customer_Requirement_4156,-1,c4156,Customer requirement 4156
R004157,Customer_Requirement_4157,24,c4157,Customer requirement 4157
R004158,Customer_Requirement_4158,-9,c4158,Customer requirement 4158
R004159,Customer_Requirement_4159,-9,c4159,Customer requirement 4159
R004160,Customer_Requirement_4160,-3,c4160,Customer requirement 4160
R004161,Customer_Requirement_4161,6,c4161,Customer requirement 4161
R004162,Customer_Requirement_4162,20,c4162,Customer requirement 4162
R004163,Customer_Requirement_4163,-8,c4163,Customer requirement 4163
R004164,Customer_Requirement_4164,9,c4164,Customer requirement 4164
R004165,Customer_Requirement_4165,14,c4165,Customer requirement 4165
R004166,Customer_Requirement_4166,14,c4166,Customer requirement 4166
R004167,Customer_Requirement_4167,-8,c4167,Customer requirement 4167
R004168,Customer_Requirement_4168,12,c4168,Customer requirement 4168
R004169,Customer_Requirement_4169,4,c4169,Customer requirement 4169
R004170,Customer_Requirement_4170,7,c4170,Customer requirement 4170
R004171,Customer_Requirement_4171,-6,c4171,Customer requirement 4171
R004172,Customer_Requirement_4172,5,c4172,Customer requirement 4172
R004173,Customer_Requirement_4173,9,c4173,Customer requirement 4173
R004174,Customer_Requirement_4174,13,c4174,Customer requirement 4174
R004175,Customer_Requirement_4175,13,c4175,Customer requirement 4175
R004176,Customer_Requirement_4176,15,c4176,Customer requirement 4176
R004177,Customer_Requirement_4177,22,c4177,Customer requirement 4177
R004178,Customer_Requirement_4178,19,c4178,Customer requirement 4178
R004179,Customer_Requirement_4179,-2,c4179,Customer requirement 4179
R004180,Customer_Requirement_4180,23,c4180,Customer requirement 4180
R004181,Customer_Requirement_4181,-8,c4181,Customer requirement 4181
R004182,Customer_Requirement_4182,3,c4182,Customer requirement 4182
R004183,Customer_Requirement_4183,0,c4183,Customer requirement 4183
R004184,Customer_Requirement_4184,-4,c4184,Customer requirement 4184
R004185,Customer_Requirement_4185,7,c4185,Customer requirement 4185
R004186,Customer_Requirement_4186,-5,c4186,Customer requirement 4186
R004187,Customer_Requirement_4187,14,c4187,Customer requirement 4187
R004188,Customer_Requirement_4188,9,c4188,Customer requirement 4188
R004189,Customer_Requirement_4189,12,c4189,Customer requirement 4189
R004190,Customer_Requirement_4190,7,c4190,Customer requirement 4190
R004191,Customer_Requirement_4191,17,c4191,Customer requirement 4191
R004192,Customer_Requirement_4192,20,c4192,Customer requirement 4192
R004193,Customer_Requirement_4193,17,c4193,Customer requirement 4193
R004194,Customer_Requirement_4194,9,c4194,Customer requirement 4194
R004195,Customer_Requirement_4195,5,c4195,Customer requirement 4195
R004196,Customer_Requirement_4196,10,c4196,Customer requirement 4196
R004197,Customer_Requirement_4197,8,c4197,Customer requirement 4197
R004198,Customer_Requirement_4198,14,c4198,Customer requirement 4198
R004199,Customer_Requirement_4199,11,c4199,Customer requirement 4199
R004200,Customer_Requirement_4200,14,c4200,Customer requirement 4200
R004201,Customer_Requirement_4201,10,c4201,Customer requirement 4201
R004202,Customer_Requirement_4202,18,c4202,Customer requirement 4202
R004203,Customer_Requirement_4203,5,c4203,Customer requirement 4203
R004204,Customer_Requirement_4204,4,c4204,Customer requirement 4204
R004205,Customer_Requirement_4205,23,c4205,Customer requirement 4205
R004206,Customer_Requirement_4206,6,c4206,Customer requirement 4206
R004207,Customer_Requirement_4207,7,c4207,Customer requirement 4207
R004208,Customer_Requirement_4208,17,c4208,Customer requirement 4208
R004209,Customer_Requirement_4209,-6,c4209,Customer requirement 4209
R004210,Customer_Requirement_4210,16,c4210,Customer requirement 4210
R004211,Customer_Requirement_4211,6,c4211,Customer requirement 4211
R004212,Customer_Requirement_4212,9,c4212,Customer requirement 4212
R004213,Customer_Requirement_4213,18,c4213,Customer requirement 4213
R004214,Customer_Requirement_4214,13,c4214,Customer requirement 4214
R004215,Customer_Requirement_4215,4,c4215,Customer requirement 4215
R004216,Customer_Requirement_4216,18,c4216,Customer requirement 4216
R004217,Customer_Requirement_4217,24,c4217,Customer requirement 4217
R004218,Customer_Requirement_4218,21,c4218,Customer requirement 4218
R004219,Customer_Requirement_4219,10,c4219,Customer requirement 4219
R004220,Customer_Requirement_4220,21,c4220,Customer requirement 4220
R004221,Customer_Requirement_4221,8,c4221,Customer requirement 4221
R004222,Customer_Requirement_4222,1,c4222,Customer requirement 4222
R004223,Customer_Requirement_4223,8,c4223,Customer requirement 4223
R004224,Customer_Requirement_4224,21,c4224,Customer requirement 4224
R004225,Customer_Requirement_4225,-4,c4225,Customer requirement 4225
R004226,Customer_Requirement_4226,16,c4226,Customer requirement 4226
R004227,Customer_Requirement_4227,8,c4227,Customer requirement 4227
R004228,Customer_Requirement_4228,11,c4228,Customer requirement 4228
R004229,Customer_Requirement_4229,11,c4229,Customer requirement 4229
R004230,Customer_Requirement_4230,4,c4230,Customer requirement 4230
R004231,Customer_Requirement_4231,2,c4231,Customer requirement 4231
R004232,Customer_Requirement_4232,10,c4232,Customer requirement 4232
R004233,Customer_Requirement_4233,13,c4233,Customer requirement 4233
R004234,Customer_Requirement_4234,22,c4234,Customer requirement 4234
R004235,Customer_Requirement_4235,2,c4235,Customer requirement 4235
R004236,Customer_Requirement_4236,12,c4236,Customer requirement 4236
R004237,Customer_Requirement_4237,7,c4237,Customer requirement 4237
R004238,Customer_Requirement_4238,5,c4238,Customer requirement 4238
R004239,Customer_Requirement_4239,18,c4239,Customer requirement 4239
R004240,Customer_Requirement_4240,15,c4240,Customer requirement 4240
R004241,Customer_Requirement_4241,-4,c4241,Customer requirement 4241
R004242,Customer_Requirement_4242,11,c4242,Customer requirement 4242
R004243,Customer_Requirement_4243,7,c4243,Customer requirement 4243
R004244,Customer_Requirement_4244,7,c4244,Customer requirement 4244
R004245,Customer_Requirement_4245,-2,c4245,Customer requirement 4245
R004246,Customer_Requirement_4246,-4,c4246,Customer requirement 4246
R004247,Customer_Requirement_4247,7,c4247,Customer requirement 4247
R004248,Customer_Requirement_4248,17,c4248,Customer requirement 4248
R004249,Customer_Requirement_4249,3,c4249,Customer requirement 4249
R004250,Customer_Requirement_4250,11,c4250,Customer requirement 4250
R004251,Customer_Requirement_4251,-7,c4251,Customer requirement 4251
R004252,Customer_Requirement_4252,-1,c4252,Customer requirement 4252
R004253,Customer_Requirement_4253,13,c4253,Customer requirement 4253
R004254,Customer_Requirement_4254,12,c4254,Customer requirement 4254
R004255,Customer_Requirement_4255,8,c4255,Customer requirement 4255
R004256,Customer_Requirement_4256,13,c4256,Customer requirement 4256
R004257,Customer_Requirement_4257,-1,c4257,Customer requirement 4257
R004258,Customer_Requirement_4258,11,c4258,Customer requirement 4258
R004259,Customer_Requirement_4259,21,c4259,Customer requirement 4259
R004260,Customer_Requirement_4260,8,c4260,Customer requirement 4260
R004261,Customer_Requirement_4261,4,c4261,Customer requirement 4261
R004262,Customer_Requirement_4262,7,c4262,Customer requirement 4262
R004263,Customer_Requirement_4263,-4,c4263,Customer requirement 4263
R004264,Customer_Requirement_4264,-7,c4264,Customer requirement 4264
R004265,Customer_Requirement_4265,-4,c4265,Customer requirement 4265
R004266,Customer_Requirement_4266,21,c4266,Customer requirement 4266
R004267,Customer_Requirement_4267,9,c4267,Customer requirement 4267
R004268,Customer_Requirement_4268,-6,c4268,Customer requirement 4268
R004269,Customer_Requirement_4269,20,c4269,Customer requirement 4269
R004270,Customer_Requirement_4270,14,c4270,Customer requirement 4270
R004271,Customer_Requirement_4271,18,c4271,Customer requirement 4271
R004272,Customer_Requirement_4272,3,c4272,Customer requirement 4272
R004273,Customer_Requirement_4273,1,c4273,Customer requirement 4273
R004274,Customer_Requirement_4274,0,c4274,Customer requirement 4274
R004275,Customer_Requirement_4275,14,c4275,Customer requirement 4275
R004276,Customer_Requirement_4276,12,c4276,Customer requirement 4276
R004277,Customer_Requirement_4277,8,c4277,Customer requirement 4277
R004278,Customer_Requirement_4278,14,c4278,Customer requirement 4278
R004279,Customer_Requirement_4279,-4,c4279,Customer requirement 4279
R004280,Customer_Requirement_4280,14,c4280,Customer requirement 4280
R004281,Customer_Requirement_4281,22,c4281,Customer requirement 4281
R004282,Customer_Requirement_4282,23,c4282,Customer requirement 4282
R004283,Customer_Requirement_4283,1,c4283,Customer requirement 4283
R004284,Customer_Requirement_4284,19,c4284,Customer requirement 4284
R004285,Customer_Requirement_4285,5,c4285,Customer requirement 4285
R004286,Customer_Requirement_4286,-1,c4286,Customer requirement 4286
R004287,Customer_Requirement_4287,1,c4287,Customer requirement 4287
R004288,Customer_Requirement_4288,6,c4288,Customer requirement 4288
R004289,Customer_Requirement_4289,-7,c4289,Customer requirement 4289
R004290,Customer_Requirement_4290,15,c4290,Customer requirement 4290
R004291,Customer_Requirement_4291,12,c4291,Customer requirement 4291
R004292,Customer_Requirement_4292,6,c4292,Customer requirement 4292
R004293,Customer_Requirement_4293,16,c4293,Customer requirement 4293
R004294,Customer_Requirement_4294,5,c4294,Customer requirement 4294
R004295,Customer_Requirement_4295,10,c4295,Customer requirement 4295
R004296,Customer_Requirement_4296,21,c4296,Customer requirement 4296
R004297,Customer_Requirement_4297,12,c4297,Customer requirement 4297
R004298,Customer_Requirement_4298,12,c4298,Customer requirement 4298
R004299,Customer_Requirement_4299,9,c4299,Customer requirement 4299
R004300,Customer_Requirement_4300,24,c4300,Customer requirement 4300
R004301,Customer_Requirement_4301,24,c4301,Customer requirement 4301
R004302,Customer_Requirement_4302,8,c4302,Customer requirement 4302
R004303,Customer_Requirement_4303,13,c4303,Customer requirement 4303
R004304,Customer_Requirement_4304,12,c4304,Customer requirement 4304
R004305,Customer_Requirement_4305,14,c4305,Customer requirement 4305
R004306,Customer_Requirement_4306,13,c4306,Customer requirement 4306
R004307,Customer_Requirement_4307,-4,c4307,Customer requirement 4307
R004308,Customer_Requirement_4308,-9,c4308,Customer requirement 4308
R004309,Customer_Requirement_4309,14,c4309,Customer requirement 4309
R004310,Customer_Requirement_4310,23,c4310,Customer requirement 4310
R004311,Customer_Requirement_4311,23,c4311,Customer requirement 4311
R004312,Customer_Requirement_4312,10,c4312,Customer requirement 4312
R004313,Customer_Requirement_4313,7,c4313,Customer requirement 4313
R004314,Customer_Requirement_4314,10,c4314,Customer requirement 4314
R004315,Customer_Requirement_4315,-3,c4315,Customer requirement 4315
R004316,Customer_Requirement_4316,10,c4316,Customer requirement 4316
R004317,Customer_Requirement_4317,-4,c4317,Customer requirement 4317
R004318,Customer_Requirement_4318,6,c4318,Customer requirement 4318
R004319,Customer_Requirement_4319,21,c4319,Customer requirement 4319
R004320,Customer_Requirement_4320,11,c4320,Customer requirement 4320
R004321,Customer_Requirement_4321,-5,c4321,Customer requirement 4321
R004322,Customer_Requirement_4322,4,c4322,Customer requirement 4322
R004323,Customer_Requirement_4323,23,c4323,Customer requirement 4323
R004324,Customer_Requirement_4324,-10,c4324,Customer requirement 4324
R004325,Customer_Requirement_4325,11,c4325,Customer requirement 4325
R004326,Customer_Requirement_4326,11,c4326,Customer requirement 4326
R004327,Customer_Requirement_4327,-4,c4327,Customer requirement 4327
R004328,Customer_Requirement_4328,9,c4328,Customer requirement 4328
R004329,Customer_Requirement_4329,4,c4329,Customer requirement 4329
R004330,Customer_Requirement_4330,1,c4330,Customer requirement 4330
R004331,Customer_Requirement_4331,18,c4331,Customer requirement 4331
R004332,Customer_Requirement_4332,8,c4332,Customer requirement 4332
R004333,Customer_Requirement_4333,4,c4333,Customer requirement 4333
R004334,Customer_Requirement_4334,4,c4334,Customer requirement 4334
R004335,Customer_Requirement_4335,-5,c4335,Customer requirement 4335
R004336,Customer_Requirement_4336,6,c4336,Customer requirement 4336
R004337,Customer_Requirement_4337,9,c4337,Customer requirement 4337
R004338,Customer_Requirement_4338,-10,c4338,Customer requirement 4338
R004339,Customer_Requirement_4339,14,c4339,Customer requirement 4339
R004340,Customer_Requirement_4340,11,c4340,Customer requirement 4340
R004341,Customer_Requirement_4341,10,c4341,Customer requirement 4341
R004342,Customer_Requirement_4342,19,c4342,Customer requirement 4342
R004343,Customer_Requirement_4343,13,c4343,Customer requirement 4343
R004344,Customer_Requirement_4344,11,c4344,Customer requirement 4344
R004345,Customer_Requirement_4345,8,c4345,Customer requirement 4345
R004346,Customer_Requirement_4346,15,c4346,Customer requirement 4346
R004347,Customer_Requirement_4347,19,c4347,Customer requirement 4347
R004348,Customer_Requirement_4348,12,c4348,Customer requirement 4348
R004349,Customer_Requirement_4349,19,c4349,Customer requirement 4349
R004350,Customer_Requirement_4350,13,c4350,Customer requirement 4350
R004351,Customer_Requirement_4351,5,c4351,Customer requirement 4351
R004352,Customer_Requirement_4352,5,c4352,Customer requirement 4352
R004353,Customer_Requirement_4353,5,c4353,Customer requirement 4353
R004354,Customer_Requirement_4354,6,c4354,Customer requirement 4354
R004355,Customer_Requirement_4355,14,c4355,Customer requirement 4355
R004356,Customer_Requirement_4356,11,c4356,Customer requirement 4356
R004357,Customer_Requirement_4357,-4,c4357,Customer requirement 4357
R004358,Customer_Requirement_4358,5,c4358,Customer requirement 4358
R004359,Customer_Requirement_4359,1,c4359,Customer requirement 4359
R004360,Customer_Requirement_4360,24,c4360,Customer requirement 4360
R004361,Customer_Requirement_4361,10,c4361,Customer requirement 4361
R004362,Customer_Requirement_4362,4,c4362,Customer requirement 4362
R004363,Customer_Requirement_4363,-10,c4363,Customer requirement 4363
R004364,Customer_Requirement_4364,22,c4364,Customer requirement 4364
R004365,Customer_Requirement_4365,-2,c4365,Customer requirement 4365
R004366,Customer_Requirement_4366,5,c4366,Customer requirement 4366
R004367,Customer_Requirement_4367,24,c4367,Customer requirement 4367
R004368,Customer_Requirement_4368,11,c4368,Customer requirement 4368
R004369,Customer_Requirement_4369,8,c4369,Customer requirement 4369
R004370,Customer_Requirement_4370,8,c4370,Customer requirement 4370
R004371,Customer_Requirement_4371,10,c4371,Customer requirement 4371
R004372,Customer_Requirement_4372,6,c4372,Customer requirement 4372
R004373,Customer_Requirement_4373,3,c4373,Customer requirement 4373
R004374,Customer_Requirement_4374,11,c4374,Customer requirement 4374
R004375,Customer_Requirement_4375,6,c4375,Customer requirement 4375
R004376,Customer_Requirement_4376,1,c4376,Customer requirement 4376
R004377,Customer_Requirement_4377,8,c4377,Customer requirement 4377
R004378,Customer_Requirement_4378,0,c4378,Customer requirement 4378
R004379,Customer_Requirement_4379,7,c4379,Customer requirement 4379
R004380,Customer_Requirement_4380,-1,c4380,Customer requirement 4380
R004381,Customer_Requirement_4381,11,c4381,Customer requirement 4381
R004382,Customer_Requirement_4382,12,c4382,Customer requirement 4382
R004383,Customer_Requirement_4383,6,c4383,Customer requirement 4383
R004384,Customer_Requirement_4384,5,c4384,Customer requirement 4384
R004385,Customer_Requirement_4385,20,c4385,Customer requirement 4385
R004386,Customer_Requirement_4386,11,c4386,Customer requirement 4386
R004387,Customer_Requirement_4387,16,c4387,Customer requirement 4387
R004388,Customer_Requirement_4388,6,c4388,Customer requirement 4388
R004389,Customer_Requirement_4389,21,c4389,Customer requirement 4389
R004390,Customer_Requirement_4390,23,c4390,Customer requirement 4390
R004391,Customer_Requirement_4391,22,c4391,Customer requirement 4391
R004392,Customer_Requirement_4392,10,c4392,Customer requirement 4392
R004393,Customer_Requirement_4393,18,c4393,Customer requirement 4393
R004394,Customer_Requirement_4394,10,c4394,Customer requirement 4394
R004395,Customer_Requirement_4395,11,c4395,Customer requirement 4395
R004396,Customer_Requirement_4396,6,c4396,Customer requirement 4396
R004397,Customer_Requirement_4397,9,c4397,Customer requirement 4397
R004398,Customer_Requirement_4398,10,c4398,Customer requirement 4398
R004399,Customer_Requirement_4399,9,c4399,Customer requirement 4399
R004400,Customer_Requirement_4400,10,c4400,Customer requirement 4400
R004401,Customer_Requirement_4401,-10,c4401,Customer requirement 4401
R004402,Customer_Requirement_4402,5,c4402,Customer requirement 4402
R004403,Customer_Requirement_4403,12,c4403,Customer requirement 4403
R004404,Customer_Requirement_4404,19,c4404,Customer requirement 4404
R004405,Customer_Requirement_4405,-4,c4405,Customer requirement 4405
R004406,Customer_Requirement_4406,-6,c4406,Customer requirement 4406
R004407,Customer_Requirement_4407,5,c4407,Customer requirement 4407
R004408,Customer_Requirement_4408,7,c4408,Customer requirement 4408
R004409,Customer_Requirement_4409,19,c4409,Customer requirement 4409
R004410,Customer_Requirement_4410,-4,c4410,Customer requirement 4410
R004411,Customer_Requirement_4411,10,c4411,Customer requirement 4411
R004412,Customer_Requirement_4412,9,c4412,Customer requirement 4412
R004413,Customer_Requirement_4413,-1,c4413,Customer requirement 4413
R004414,Customer_Requirement_4414,23,c4414,Customer requirement 4414
R004415,Customer_Requirement_4415,12,c4415,Customer requirement 4415
R004416,Customer_Requirement_4416,-7,c4416,Customer requirement 4416
R004417,Customer_Requirement_4417,11,c4417,Customer requirement 4417
R004418,Customer_Requirement_4418,7,c4418,Customer requirement 4418
R004419,Customer_Requirement_4419,0,c4419,Customer requirement 4419
